Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,12,Sat,2018-11-03,20:00,Strasbourg,1.1,1–1,1.3,Toulouse,25034,Stade de la Meinau,Jérôme Miguelgorry,Match Report,
Regular Season,12,Sun,2018-11-04,15:00,Nantes,2.3,5–0,0.2,Guingamp,25753,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
Regular Season,12,Sun,2018-11-04,17:00,Saint-Étienne,2.4,4–3,1.3,Angers,22983,Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
Regular Season,12,Sun,2018-11-04,21:00,Montpellier,1.4,3–0,0.8,Marseille,19683,Stade de la Mosson,Antony Gautier,Match Report,

Regular Season,13,Fri,2018-11-09,20:45,Lille,1.4,0–0,0.2,Strasbourg,27544,Stade Pierre-Mauroy,Olivier Thual,Match Report,
Regular Season,13,Sat,2018-11-10,17:00,Guingamp,1.3,2–4,1.2,Lyon,14171,Stade du Roudourou,Mikael Lesage,Match Report,
Regular Season,13,Sat,2018-11-10,20:00,Toulouse,1.9,0–1,0.4,Amiens,13553,Stadium Municipal,Eric Wattellier,Match Report,
Regular Season,13,Sat,2018-11-10,20:00,Saint-Étienne,1.0,2–0,0.9,Reims,22838,Stade Geoffroy-Guichard,Florent Batta,Match Report,
Regular Season,13,Sat,2018-11-10,20:00,Nîmes,1.0,0–1,0.9,Nice,14290,Stade des Costières,Benoît Bastien,Match Report,
Regular Season,13,Sat,2018-11-10,20:00,Angers,0.8,1–0,0.3,Montpellier,8342,Stade Raymond Kopa,Jeremy Stinat,Match Report,
Regular Season,13,Sun,2018-11-11,15:00,Bordeaux,1.3,0–0,0.5,Caen,15352,Stade Matmut-Atlantique,Nicolas Rainville,Match Report,
Regular Season,13,Sun,2018-11-11,17:00,Rennes,1.9,1–1,0.3,Nantes,23270,Roazhon Park,Karim Abed,Match Report,
Regular Season,13,Sun,2018-11-11,17:00,Marseille,3.1,2–0,0.5,Dijon,47430,Orange Vélodrome,Willy Delajod,Match Report,
Regular Season,13,Sun,2018-11-11,21:00,Monaco,1.1,0–4,3.9,Paris S-G,12533,Stade Louis II.,Ruddy Buquet,Match Report,

Regular Season,14,Fri,2018-11-23,21:00,Lyon,0.8,1–0,1.1,Saint-Étienne,55701,Groupama Stadium,Antony Gautier,Match Report,
