Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,14,Sat,2017-11-25,20:00,Montpellier,2.1,3–0,0.3,Lille,11370,Stade de la Mosson,Thomas Léonard,Match Report,
Regular Season,14,Sun,2017-11-26,15:00,Nice,0.3,0–5,1.8,Lyon,27542,Stade de Nice,Franck Schneider,Match Report,
Regular Season,14,Sun,2017-11-26,17:00,Marseille,1.6,1–0,0.3,Guingamp,43563,Orange Vélodrome,Amaury Delerue,Match Report,
Regular Season,14,Sun,2017-11-26,21:00,Monaco,0.4,1–2,3.8,Paris S-G,16588,Stade Louis II.,François Letexier,Match Report,

Regular Season,15,Tue,2017-11-28,19:00,Amiens,1.2,2–1,0.9,Dijon,8693,Stade de la Licorne,Karim Abed,Match Report,
Regular Season,15,Tue,2017-11-28,19:00,Strasbourg,0.3,0–0,1.7,Caen,22175,Stade de la Meinau,Stéphane Jochem,Match Report,
Regular Season,15,Tue,2017-11-28,21:00,Bordeaux,1.1,3–0,0.8,Saint-Étienne,21115,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
Regular Season,15,Wed,2017-11-29,19:00,Lyon,2.8,1–2,0.9,Lille,31679,Groupama Stadium,Jérôme Miguelgorry,Match Report,
Regular Season,15,Wed,2017-11-29,19:00,Angers,0.6,1–2,1.0,Rennes,10364,Stade Raymond Kopa,Nicolas Rainville,Match Report,
Regular Season,15,Wed,2017-11-29,19:00,Toulouse,2.0,1–2,1.6,Nice,10348,Stadium Municipal,Johan Hamel,Match Report,
Regular Season,15,Wed,2017-11-29,19:00,Metz,0.5,0–3,2.7,Marseille,18046,Stade Saint-Symphorien,Tony Chapron,Match Report,
Regular Season,15,Wed,2017-11-29,19:00,Guingamp,0.8,0–0,0.4,Montpellier,13578,Stade du Roudourou,Olivier Thual,Match Report,
Regular Season,15,Wed,2017-11-29,19:00,Nantes,0.9,1–0,0.4,Monaco,24800,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Match Report,
Regular Season,15,Wed,2017-11-29,21:00,Paris S-G,1.7,2–0,0.5,Troyes,40920,Parc des Princes,Jérôme Brisard,Match Report,

Regular Season,16,Fri,2017-12-01,20:45,Dijon,1.3,3–2,1.0,Bordeaux,10631,Stade Gaston Gérard,Benoît Bastien,Match Report,
Regular Season,16,Sat,2017-12-02,17:00,Strasbourg,0.3,2–1,2.8,Paris S-G,25327,Stade de la Meinau,Ruddy Buquet,Match Report,
Regular Season,16,Sat,2017-12-02,20:00,Troyes,0.8,0–1,0.8,Guingamp,9149,Stade de l'Aube,Sébastien Desiage,Match Report,
Regular Season,16,Sat,2017-12-02,20:00,Nice,1.9,3–1,0.5,Metz,16383,Stade de Nice,Mikael Lesage,Match Report,
Regular Season,16,Sat,2017-12-02,20:00,Rennes,1.5,2–0,0.3,Amiens,23051,Roazhon Park,Thomas Léonard,Match Report,
Regular Season,16,Sat,2017-12-02,20:00,Monaco,0.6,1–0,0.5,Angers,6545,Stade Louis II.,Antony Gautier,Match Report,
Regular Season,16,Sat,2017-12-02,20:00,Lille,1.4,1–0,1.2,Toulouse,29287,Stade Pierre-Mauroy,Benoît Millot,Match Report,
Regular Season,16,Sun,2017-12-03,15:00,Saint-Étienne,1.1,1–1,1.6,Nantes,24085,Stade Geoffroy-Guichard,François Letexier,Match Report,
Regular Season,16,Sun,2017-12-03,17:00,Caen,1.0,1–2,1.5,Lyon,19455,Stade Michel d'Ornano,Amaury Delerue,Match Report,
