Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,8,Sun,2016-10-02,15:00,Angers,1–1,Marseille,14637,Stade Raymond Kopa,Johan Hamel,Match Report,
Regular Season,8,Sun,2016-10-02,17:00,Nice,2–1,Lorient,17816,Stade de Nice,Ruddy Buquet,Match Report,
Regular Season,8,Sun,2016-10-02,20:45,Lyon,2–0,Saint-Étienne,57050,Groupama Stadium,Clément Turpin,Match Report,

Regular Season,9,Fri,2016-10-14,19:00,Toulouse,3–1,Monaco,17602,Stadium Municipal,Lionel Jaffredo,Match Report,
Regular Season,9,Fri,2016-10-14,20:45,Nice,2–0,Lyon,28139,Stade de Nice,Ruddy Buquet,Match Report,
Regular Season,9,Sat,2016-10-15,17:00,Nancy,1–2,Paris S-G,19524,Stade Marcel Picot,Mikael Lesage,Match Report,
Regular Season,9,Sat,2016-10-15,20:00,Montpellier,3–2,Caen,14456,Stade de la Mosson,Saïd Ennjimi,Match Report,
Regular Season,9,Sat,2016-10-15,20:00,Lorient,1–2,Nantes,12458,Stade Yves Allainmat - Le Moustoir,Benoît Bastien,Match Report,
Regular Season,9,Sat,2016-10-15,20:00,Bastia,1–2,Angers,9303,Stade Armand Césari,Franck Schneider,Match Report,
Regular Season,9,Sat,2016-10-15,20:00,Guingamp,1–0,Lille,12636,Stade du Roudourou,Sébastien Moreira,Match Report,
Regular Season,9,Sun,2016-10-16,15:00,Rennes,1–1,Bordeaux,22962,Roazhon Park,Benoît Millot,Match Report,
Regular Season,9,Sun,2016-10-16,17:00,Saint-Étienne,1–1,Dijon,25528,Stade Geoffroy-Guichard,Karim Abed,Match Report,
Regular Season,9,Sun,2016-10-16,20:45,Marseille,1–0,Metz,28588,Orange Vélodrome,Jérôme Miguelgorry,Match Report,

Regular Season,10,Fri,2016-10-21,20:45,Monaco,6–2,Montpellier,7619,Stade Louis II.,Amaury Delerue,Match Report,
Regular Season,10,Sat,2016-10-22,17:00,Lyon,1–3,Guingamp,39184,Groupama Stadium,Antony Gautier,Match Report,
Regular Season,10,Sat,2016-10-22,20:00,Nantes,1–2,Rennes,29015,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
Regular Season,10,Sat,2016-10-22,20:00,Bordeaux,1–1,Nancy,20853,Stade Matmut-Atlantique,Stéphane Lannoy,Match Report,
Regular Season,10,Sat,2016-10-22,20:00,Angers,0–0,Toulouse,11777,Stade Raymond Kopa,Bartolomeu Varela,Match Report,
Regular Season,10,Sat,2016-10-22,20:00,Lille,2–1,Bastia,25932,Stade Pierre-Mauroy,Ruddy Buquet,Match Report,
Regular Season,10,Sat,2016-10-22,20:00,Dijon,1–0,Lorient,8558,Stade Gaston Gérard,Sébastien Desiage,Match Report,
Regular Season,10,Sun,2016-10-23,15:00,Caen,0–2,Saint-Étienne,18509,Stade Michel d'Ornano,Olivier Thual,Match Report,
Regular Season,10,Sun,2016-10-23,17:00,Metz,2–4,Nice,17994,Stade Saint-Symphorien,François Letexier,Match Report,
Regular Season,10,Sun,2016-10-23,20:45,Paris S-G,0–0,Marseille,47929,Parc des Princes,Clément Turpin,Match Report,

Regular Season,11,Fri,2016-10-28,20:45,Lille,0–1,Paris S-G,37213,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
Regular Season,11,Sat,2016-10-29,17:00,Toulouse,1–2,Lyon,24141,Stadium Municipal,Benoît Millot,Match Report,
Regular Season,11,Sat,2016-10-29,20:00,Lorient,2–2,Montpellier,9872,Stade Yves Allainmat - Le Moustoir,Jérôme Miguelgorry,Match Report,
Regular Season,11,Sat,2016-10-29,20:00,Saint-Étienne,1–1,Monaco,35890,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
Regular Season,11,Sat,2016-10-29,20:00,Nancy,2–0,Caen,16896,Stade Marcel Picot,Tony Chapron,Match Report,
Regular Season,11,Sat,2016-10-29,20:00,Guingamp,1–0,Angers,15277,Stade du Roudourou,Sébastien Desiage,Match Report,
Regular Season,11,Sat,2016-10-29,20:00,Bastia,0–0,Dijon,10048,Stade Armand Césari,Lionel Jaffredo,Match Report,
Regular Season,11,Sun,2016-10-30,15:00,Nice,4–1,Nantes,24418,Stade de Nice,Sébastien Moreira,Match Report,
Regular Season,11,Sun,2016-10-30,17:00,Rennes,1–0,Metz,20874,Roazhon Park,Saïd Ennjimi,Match Report,
Regular Season,11,Sun,2016-10-30,20:45,Marseille,0–0,Bordeaux,57091,Orange Vélodrome,Nicolas Rainville,Match Report,

Regular Season,12,Fri,2016-11-04,20:45,Montpellier,3–1,Marseille,18451,Stade de la Mosson,Antony Gautier,Match Report,
Regular Season,12,Sat,2016-11-05,17:00,Monaco,6–0,Nancy,5539,Stade Louis II.,François Letexier,Match Report,
